index,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userLocation,SumRetweetFavorite,is Noise,pos_count,PRetweetFavoriteWeight,neg_count,NRetweetFavoriteWeight,sentiment,clean text,tokens,KeyWords,saudiLocations,reqKeywords,sentiment_codes,translated_keywords
48,48,1508536293151621122,RT @Bader_Alziad: هناك الكثير من التعاملات تقع ضمن نطاق عمل #هيئة_الرقابة_ومكافحة_الفساد حتى في أبسط الأمور، بغض النظر عن من يكون؟ وماهي صف…,1,0,Twitter for iPhone,2022-03-28 20:07:34+00:00,900783316978327552,RAEDAHANWER,رائدة الحميد,2017-08-24 18:14:13+00:00,سفيرة تلبيه وإخاء للايتام سفيرةالمسؤليةالاجتماعيةبفرع وزارة المواردالبشريةوالتنميةالاجتماعية حائل الرخصة الدولية للعمل التطوعي والمسؤلية الاجتماعية,المملكة العربية السعودية,1,ok,0,0,0,0,Neutral,هناك الكثير من التعاملات تقع ضمن نطاق عمل هيئه الرقابه ومكافحه الفساد حتي في ابسط الامور بغض النظر عن من يكون وماهي صف,"['هناك', 'الكثير', 'من', 'التعاملات', 'تقع', 'ضمن', 'نطاق', 'عمل', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'حتي', 'في', 'ابسط', 'الامور', 'بغض', 'النظر', 'عن', 'من', 'يكون', 'وماهي', 'صف']","الكثير, التعاملات, تقع, ضمن, نطاق, عمل, هيئه, الرقابه, ومكافحه, الفساد, ابسط, الامور, بغض, النظر, وماهي, صف",لمملكة العربية السعودية,Corruption,0,"Lot, transactions, fall, within, scope, work, body, control, fight, corruption, simpler, things, regardless, looking, what, row"
47,47,1508539775107674127,RT @UOfjeddah: دعوة | برعاية معالي رئيس #جامعة_جدة د.عدنان الحميدان تنظم الجامعة ممثلة في إدارة المراجعة الداخلية بالتعاون مع  #هيئة_الرقاب…,7,0,Twitter Web App,2022-03-28 20:21:24+00:00,4263068945,Nazaha_care,خدمات الاستفسار والفعاليات,2015-11-24 07:26:33+00:00,"حساب لتلقي الاستفسارات ونشر الفعاليات المتعلقة بـ #نزاهة, وبإمكانكم تقديم البلاغات عن الفساد المالي والإداري على الهاتف المجاني 980.",المملكة العربية السعودية,7,ok,0,0,1,7,Negative,دعوه برعايه معالي رئيس جامعه جده دعدنان الحميدان تنظم الجامعه ممثله في اداره المراجعه الداخليه بالتعاون مع هيئه الرقاب,"['دعوه', 'برعايه', 'معالي', 'رئيس', 'جامعه', 'جده', 'دعدنان', 'الحميدان', 'تنظم', 'الجامعه', 'ممثله', 'في', 'اداره', 'المراجعه', 'الداخليه', 'بالتعاون', 'مع', 'هيئه', 'الرقاب']","دعوه, برعايه, معالي, رئيس, جامعه, جده, دعدنان, الحميدان, تنظم, الجامعه, ممثله, اداره, المراجعه, الداخليه, بالتعاون, هيئه, الرقاب",لمملكة العربية السعودية,Others,-1,"Call him, sponsored, honey, president, university, grandfather, dadin, al-Humaidan, organizing, university, representative, administration, review, internal, in cooperation, body, necks"
40,40,1508726183646613505,"RT @deereti: #الموارد_البشرية 
#هيئة_الرقابة_ومكافحة_الفساد 
#المجتمع_الوظيفي 
مهم جداً https://t.co/6qJRc0iYwL",3,0,Twitter for iPhone,2022-03-29 08:42:07+00:00,1388679423277379591,QMB40,غريب الشمري,2021-05-02 02:19:22+00:00,••• ماجستير ادارة HR ( حساب شخصي ),المملكة العربية السعودية,3,ok,0,0,0,0,Neutral,الموارد البشريه هيئه الرقابه ومكافحه الفساد المجتمع الوظيفي مهم جداً,"['الموارد', 'البشريه', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'المجتمع', 'الوظيفي', 'مهم', 'جدا']","الموارد, البشريه, هيئه, الرقابه, ومكافحه, الفساد, المجتمع, الوظيفي, مهم, جدا",لمملكة العربية السعودية,Corruption,0,"Resources, human, body, control, fight, corruption, community, career, important, very"
39,39,1508741671068090370,"ضمن برنامج #وطننا_أمانة 
شاركت #هيئة_الرقابة_ومكافحة_الفساد بالتعاون مع #جامعة_جدة في عقد ورشة عمل بعنوان ""حماية ال… https://t.co/7mRCkTznO9",1,2,Twitter Web App,2022-03-29 09:43:40+00:00,4263068945,Nazaha_care,خدمات الاستفسار والفعاليات,2015-11-24 07:26:33+00:00,"حساب لتلقي الاستفسارات ونشر الفعاليات المتعلقة بـ #نزاهة, وبإمكانكم تقديم البلاغات عن الفساد المالي والإداري على الهاتف المجاني 980.",المملكة العربية السعودية,3,ok,0,0,0,0,Neutral,ضمن برنامج وطننا امانه شاركت هيئه الرقابه ومكافحه الفساد بالتعاون مع جامعه جده في عقد ورشه عمل بعنوان حمايه ال,"['ضمن', 'برنامج', 'وطننا', 'امانه', 'شاركت', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'بالتعاون', 'مع', 'جامعه', 'جده', 'في', 'عقد', 'ورشه', 'عمل', 'بعنوان', 'حمايه', 'ال']","ضمن, برنامج, وطننا, امانه, شاركت, هيئه, الرقابه, ومكافحه, الفساد, بالتعاون, جامعه, جده, عقد, ورشه, عمل, بعنوان, حمايه",لمملكة العربية السعودية,Corruption,0,"Within, program, home, security, chart, body, control, fight, corruption, collaboration, university, grandmother, contract, work, work, entitled"
37,37,1508754309466533888,"RT @annavip2030: @938 وعودكم واهيه
ولا عمل الا بعد شكوى ومطالب
ويتم عمل امور بسيطة لاسكاتنا
عذر لا يوجد ميزانية غير مقبول
حكومتنا الرشيدة ح…",1,0,Twitter for Android,2022-03-29 10:33:53+00:00,910093965776613379,althagafiomarr,لشوفك شوق يدفعني... لصوتك نفسي لوأسمع,2017-09-19 10:51:24+00:00,"تعطيني الذكرى و لا تاخذ أبد

تحكيلي الذكرى و لا تسمع لاحد",مكة المكرمة,1,ok,1,1,1,1,Neutral,وعودكم واهيه ولا عمل الا بعد شكوي ومطالب ويتم عمل امور بسيطه لاسكاتنا عذر لا يوجد ميزانيه غير مقبول حكومتنا الرشيده,"['وعودكم', 'واهيه', 'ولا', 'عمل', 'الا', 'بعد', 'شكوي', 'ومطالب', 'ويتم', 'عمل', 'امور', 'بسيطه', 'لاسكاتنا', 'عذر', 'لا', 'يوجد', 'ميزانيه', 'غير', 'مقبول', 'حكومتنا', 'الرشيده']","وعودكم, واهيه, عمل, شكوي, ومطالب, ويتم, عمل, امور, بسيطه, لاسكاتنا, عذر, يوجد, ميزانيه, غير, مقبول, حكومتنا, الرشيده",مكة,Others,0,"Your promises, the face, work, complaint, demands, work, work, simple, lack, excuse, there, budget, non, acceptable, our government, good"
35,35,1508879333774999553,RT @UOfjeddah: دعوة | برعاية معالي رئيس #جامعة_جدة د.عدنان الحميدان تنظم الجامعة ممثلة في إدارة المراجعة الداخلية بالتعاون مع  #هيئة_الرقاب…,7,0,Twitter for iPhone,2022-03-29 18:50:41+00:00,1708155823,ObaidAlmodaf,عبيد آل مظف,2013-08-28 19:55:22+00:00,وكيل الجامعة للدراسات العليا والبحث العلمي الحساب الشخصي,Jeddah,7,ok,0,0,1,7,Negative,دعوه برعايه معالي رئيس جامعه جده دعدنان الحميدان تنظم الجامعه ممثله في اداره المراجعه الداخليه بالتعاون مع هيئه الرقاب,"['دعوه', 'برعايه', 'معالي', 'رئيس', 'جامعه', 'جده', 'دعدنان', 'الحميدان', 'تنظم', 'الجامعه', 'ممثله', 'في', 'اداره', 'المراجعه', 'الداخليه', 'بالتعاون', 'مع', 'هيئه', 'الرقاب']","دعوه, برعايه, معالي, رئيس, جامعه, جده, دعدنان, الحميدان, تنظم, الجامعه, ممثله, اداره, المراجعه, الداخليه, بالتعاون, هيئه, الرقاب",jeddah,Others,-1,"Call him, sponsored, honey, president, university, grandfather, dadin, al-Humaidan, organizing, university, representative, administration, review, internal, in cooperation, body, necks"
33,33,1509067072508239875,"RT @nazaha_gov_sa: المنتدى العربي لتعزيز التعاون الدولي في مجال مكافحة الفساد.
الرياض - 22 مارس 2022م
#الاتفاقية_العربية_لمكافحة_الفساد
#هي…",41,0,Twitter for Android,2022-03-30 07:16:41+00:00,1187282843648610304,Nashy54390110,السراه,2019-10-24 08:21:37+00:00,‏‏‏‏‏‏‏‏‏‏الإيمان بالله أمان ، والإيمان بالمسئولية أمانة ٠,المملكة العربية السعودية,41,ok,0,0,0,0,Neutral,المنتدي العربي لتعزيز التعاون الدولي في مجال مكافحه الفساد الرياض مارس م الاتفاقيه العربيه لمكافحه الفساد هي,"['المنتدي', 'العربي', 'لتعزيز', 'التعاون', 'الدولي', 'في', 'مجال', 'مكافحه', 'الفساد', 'الرياض', 'مارس', 'م', 'الاتفاقيه', 'العربيه', 'لمكافحه', 'الفساد', 'هي']","المنتدي, العربي, لتعزيز, التعاون, الدولي, مجال, مكافحه, الفساد, الرياض, مارس, م, الاتفاقيه, العربيه, لمكافحه, الفساد",لمملكة العربية السعودية,Corruption,0,"Elementary, Al-Arabi, to promote, cooperation, international, field, field, corruption, Riyadh, March, m, agreement, Arabic, to fight, corruption"
32,32,1509089837239971847,"ضمن برنامج #وطننا_أمانة 
شاركت #هيئة_الرقابة_ومكافحة_الفساد بالتعاون مع #تعليم_جدة في عقد ورشة عمل افتراضية بعنوان… https://t.co/yTguZawiED",5,6,Twitter Web App,2022-03-30 08:47:09+00:00,4263068945,Nazaha_care,خدمات الاستفسار والفعاليات,2015-11-24 07:26:33+00:00,"حساب لتلقي الاستفسارات ونشر الفعاليات المتعلقة بـ #نزاهة, وبإمكانكم تقديم البلاغات عن الفساد المالي والإداري على الهاتف المجاني 980.",المملكة العربية السعودية,11,ok,0,0,0,0,Neutral,ضمن برنامج وطننا امانه شاركت هيئه الرقابه ومكافحه الفساد بالتعاون مع تعليم جده في عقد ورشه عمل افتراضيه بعنوان,"['ضمن', 'برنامج', 'وطننا', 'امانه', 'شاركت', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'بالتعاون', 'مع', 'تعليم', 'جده', 'في', 'عقد', 'ورشه', 'عمل', 'افتراضيه', 'بعنوان']","ضمن, برنامج, وطننا, امانه, شاركت, هيئه, الرقابه, ومكافحه, الفساد, بالتعاون, تعليم, جده, عقد, ورشه, عمل, افتراضيه, بعنوان",لمملكة العربية السعودية,Corruption,0,"Within, program, home, safety, chart, body, control, fight, corruption, in cooperation, teaching, grandmother, contract, workshop, work, virtualization, entitled"
29,29,1509122868092850184,"شاركت #هيئة_الرقابة_ومكافحة_الفساد بالتعاون مع #جامعة_الإمام في عقد لقاء توعوي افتراضي بعنوان ""مهام واختصاصات الهيئ… https://t.co/PsDTv2WW2u",11,12,Twitter Web App,2022-03-30 10:58:24+00:00,4263068945,Nazaha_care,خدمات الاستفسار والفعاليات,2015-11-24 07:26:33+00:00,"حساب لتلقي الاستفسارات ونشر الفعاليات المتعلقة بـ #نزاهة, وبإمكانكم تقديم البلاغات عن الفساد المالي والإداري على الهاتف المجاني 980.",المملكة العربية السعودية,23,ok,0,0,2,46,Negative,شاركت هيئه الرقابه ومكافحه الفساد بالتعاون مع جامعه الامام في عقد لقاء توعوي افتراضي بعنوان مهام واختصاصات الهيئ,"['شاركت', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'بالتعاون', 'مع', 'جامعه', 'الامام', 'في', 'عقد', 'لقاء', 'توعوي', 'افتراضي', 'بعنوان', 'مهام', 'واختصاصات', 'الهيئ']","شاركت, هيئه, الرقابه, ومكافحه, الفساد, بالتعاون, جامعه, الامام, عقد, لقاء, توعوي, افتراضي, بعنوان, مهام, واختصاصات, الهيئ",لمملكة العربية السعودية,Corruption,-1,"I participated, his body, control, fight, corruption, collaboration, university, Imam, contract, meeting, awareness, default, tasks, and terms of reference"
25,25,1509220942794440709,"RT @Nazaha_care: شاركت #هيئة_الرقابة_ومكافحة_الفساد بالتعاون مع #جامعة_الإمام في عقد لقاء توعوي افتراضي بعنوان ""مهام واختصاصات الهيئة"" اليو…",11,0,Twitter for iPhone,2022-03-30 17:28:07+00:00,1350088710,najla_alazan,نجلاء آل عزان,2013-04-13 20:02:15+00:00,مااحزن الله عبدًا الا ليُسعده وما ابتلى الله عبداً الا لانه يحبه 🌼 الحمدلله دائماً وابدا🌼.,الرياض,11,ok,0,0,2,22,Negative,شاركت هيئه الرقابه ومكافحه الفساد بالتعاون مع جامعه الامام في عقد لقاء توعوي افتراضي بعنوان مهام واختصاصات الهيئه اليو,"['شاركت', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'بالتعاون', 'مع', 'جامعه', 'الامام', 'في', 'عقد', 'لقاء', 'توعوي', 'افتراضي', 'بعنوان', 'مهام', 'واختصاصات', 'الهيئه', 'اليو']","شاركت, هيئه, الرقابه, ومكافحه, الفساد, بالتعاون, جامعه, الامام, عقد, لقاء, توعوي, افتراضي, بعنوان, مهام, واختصاصات, الهيئه, اليو",الرياض,Corruption,-1,"Participated, struggle, control, fight, corruption, in cooperation, university, Imam, contract, meeting, awareness, default, tasks, and specialties, body"
24,24,1509221242850746375,"RT @Nazaha_care: شاركت #هيئة_الرقابة_ومكافحة_الفساد بالتعاون مع #جامعة_الإمام في عقد لقاء توعوي افتراضي بعنوان ""مهام واختصاصات الهيئة"" اليو…",11,0,Twitter for iPhone,2022-03-30 17:29:18+00:00,1484385684081184768,Ms_hwazin,﮼هوازن﮼ ﮼بنت﮼ ﮼مانع﮼❥⚖️,2022-01-21 04:42:09+00:00,بكالوريوس الشريعة جامعة الإمام محمد بن سعود.. دبلوم عالي محاماة..~انا لست كغيري وغيري ليس أنا كيفما أكون لايشبهني الآخرون .. ~⚖️محامية المستقبل ⚖️,الرياض,11,ok,0,0,2,22,Negative,شاركت هيئه الرقابه ومكافحه الفساد بالتعاون مع جامعه الامام في عقد لقاء توعوي افتراضي بعنوان مهام واختصاصات الهيئه اليو,"['شاركت', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'بالتعاون', 'مع', 'جامعه', 'الامام', 'في', 'عقد', 'لقاء', 'توعوي', 'افتراضي', 'بعنوان', 'مهام', 'واختصاصات', 'الهيئه', 'اليو']","شاركت, هيئه, الرقابه, ومكافحه, الفساد, بالتعاون, جامعه, الامام, عقد, لقاء, توعوي, افتراضي, بعنوان, مهام, واختصاصات, الهيئه, اليو",الرياض,Corruption,-1,"Participated, struggle, control, fight, corruption, in cooperation, university, Imam, contract, meeting, awareness, default, tasks, and specialties, body"
